feature,type,statistic,threshold,status,timestamp
Tenure,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
WarehouseToHome,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
HourSpendOnApp,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
NumberOfDeviceRegistered,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
SatisfactionScore,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
NumberOfAddress,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
OrderAmountHikeFromlastYear,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
CouponUsed,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
OrderCount,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
DaySinceLastOrder,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
CashbackAmount,numeric,0.0,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-23T11:13:11.905647+00:00
PreferredLoginDevice,categorical,1.0,p < 0.05 Warning,OK,2026-03-23T11:13:11.905647+00:00
PreferredPaymentMode,categorical,1.0,p < 0.05 Warning,OK,2026-03-23T11:13:11.905647+00:00
Gender,categorical,1.0,p < 0.05 Warning,OK,2026-03-23T11:13:11.905647+00:00
PreferedOrderCat,categorical,1.0,p < 0.05 Warning,OK,2026-03-23T11:13:11.905647+00:00
MaritalStatus,categorical,1.0,p < 0.05 Warning,OK,2026-03-23T11:13:11.905647+00:00
Tenure,numeric,1.699377184619567e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
WarehouseToHome,numeric,7.044705887471628e-08,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
HourSpendOnApp,numeric,5.531953387005336e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
NumberOfDeviceRegistered,numeric,6.897385007738149e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
SatisfactionScore,numeric,1.1667009011248975e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
NumberOfAddress,numeric,4.3627571434463627e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
OrderAmountHikeFromlastYear,numeric,1.7483860470999488e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
CouponUsed,numeric,3.951310480449161e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
OrderCount,numeric,2.3404301955276999e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
DaySinceLastOrder,numeric,3.64546452316644e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
CashbackAmount,numeric,1.5047078986457144e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:34:03.400816+00:00
PreferredLoginDevice,categorical,0.9982667431065632,p < 0.05 Warning,OK,2026-03-24T13:34:03.400816+00:00
PreferredPaymentMode,categorical,0.9999995631795676,p < 0.05 Warning,OK,2026-03-24T13:34:03.400816+00:00
Gender,categorical,0.9784585665783252,p < 0.05 Warning,OK,2026-03-24T13:34:03.400816+00:00
PreferedOrderCat,categorical,0.9999996729826216,p < 0.05 Warning,OK,2026-03-24T13:34:03.400816+00:00
MaritalStatus,categorical,0.9960123164263476,p < 0.05 Warning,OK,2026-03-24T13:34:03.400816+00:00
Tenure,numeric,1.699377184619567e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
WarehouseToHome,numeric,7.044705887471628e-08,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
HourSpendOnApp,numeric,5.531953387005336e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
NumberOfDeviceRegistered,numeric,6.897385007738149e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
SatisfactionScore,numeric,1.1667009011248975e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
NumberOfAddress,numeric,4.3627571434463627e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
OrderAmountHikeFromlastYear,numeric,1.7483860470999488e-06,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
CouponUsed,numeric,3.951310480449161e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
OrderCount,numeric,2.3404301955276996e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
DaySinceLastOrder,numeric,3.6454645231664396e-07,PSI > 0.2 Drift; > 0.1 Warning,OK,2026-03-24T13:46:57.073119+00:00
