feature,rf_shap_importance,xgb_shap_importance,lgbm_shap_importance,ensemble_shap_importance
num__Tenure,0.039270549583672085,1.1210552,0.9339970961729693,0.7034329454096189
num__CityTier NumberOfAddress,0.02077845370875758,0.736683,0.7168117757915661,0.4950139603917854
cat__PreferedOrderCat_Laptop & Accessory,0.01756483860652193,0.63794535,0.6616441401800567,0.44218776696255596
cat__MaritalStatus_Single,0.018034641972232045,0.58326954,0.6791586473011075,0.429725207860161
num__Tenure DaySinceLastOrder,0.022916014684183784,0.5909819,0.6262018730043581,0.4162469453632048
num__SatisfactionScore Complain,0.014097848506235407,0.4202205,0.4039097932327966,0.28144251121499086
num__Tenure OrderAmountHikeFromlastYear,0.0327453850688226,0.36776045,0.4011588184618193,0.2689281737677044
num__Tenure SatisfactionScore,0.012817244772928862,0.4161997,0.30725022274017366,0.24738347985878223
num__Tenure CityTier,0.017818024272447996,0.34070012,0.29282175307865765,0.21870775416795743
num__NumberOfAddress Complain,0.0193704720071746,0.3303716,0.25534891755397443,0.20321459556043958
num__NumberOfDeviceRegistered SatisfactionScore,0.011131111570819682,0.31289244,0.24972979450836338,0.1927296895028443
num__OrderAmountHikeFromlastYear CashbackAmount,0.008390897186593756,0.34031534,0.20547063931722453,0.18631088180399286
num__CashbackAmount,0.012239531738074148,0.27216518,0.2345048936923567,0.17425399030534156
num__SatisfactionScore OrderAmountHikeFromlastYear,0.007385896941025921,0.27378944,0.23096739410225342,0.1720277053687349
num__DaySinceLastOrder CashbackAmount,0.008893408721786159,0.34040853,0.1454266564454672,0.1664549040730804
num__Tenure CashbackAmount,0.03419818316939486,0.26707622,0.19264487745512587,0.16576466891784092
num__NumberOfDeviceRegistered,0.009872134803250809,0.24633168,0.2308825721552031,0.16354214517234195
num__Tenure WarehouseToHome,0.019425197255194985,0.23735732,0.22608298174901584,0.16204458827885992
num__Complain CouponUsed,0.0069903017519306705,0.24149375,0.21296484430892912,0.15497824685696288
num__WarehouseToHome SatisfactionScore,0.008174676066639927,0.23366389,0.2196464200444889,0.15495405366978898
cat__PreferredLoginDevice_Mobile Phone,0.00581796233720719,0.20403178,0.22507494377371232,0.14598543370735034
num__WarehouseToHome Complain,0.008212899665896507,0.20354687,0.1714908357734598,0.12871285490873471
num__WarehouseToHome NumberOfDeviceRegistered,0.009597704403179936,0.223566,0.14247427550949743,0.1262382311274893
num__NumberOfDeviceRegistered Complain,0.014360568482388281,0.19758725,0.15884291869661749,0.12449444480852948
cat__MaritalStatus_Married,0.011002127242366015,0.15760699,0.19073055585864326,0.12053836054561085
num__CityTier WarehouseToHome,0.009410713462723968,0.1901232,0.13907788624055262,0.1137477414829529
num__Tenure CouponUsed,0.007019757244766282,0.16200384,0.1549628896858075,0.10877086540179075
num__Tenure NumberOfDeviceRegistered,0.01901872946241895,0.16127591,0.13560249272425498,0.10599865808302823
num__Tenure NumberOfAddress,0.006063933318918121,0.19205953,0.11706296010831405,0.10595079993213814
num__DaySinceLastOrder,0.009553526800024255,0.18289319,0.11505702612565101,0.10333073560712805
num__OrderAmountHikeFromlastYear DaySinceLastOrder,0.007337251411962426,0.17574812,0.12424393239358834,0.10325806203556265
num__Complain CashbackAmount,0.007499538288315652,0.24071525,0.05280474099308762,0.10139507590398941
num__SatisfactionScore,0.008488825784447046,0.17022623,0.12004158426893509,0.10036776045231671
num__NumberOfDeviceRegistered DaySinceLastOrder,0.004521036759565267,0.16827329,0.1244696893633887,0.09988436655850153
num__HourSpendOnApp CashbackAmount,0.0042860294533640896,0.1745192,0.11682794451989946,0.09936462678971604
num__Tenure HourSpendOnApp,0.028282134277342105,0.12742443,0.1353043677092344,0.09750743253553865
num__CityTier SatisfactionScore,0.010310266519976947,0.1461297,0.12997322292776908,0.09614426995497545
num__WarehouseToHome DaySinceLastOrder,0.004791059140801088,0.16863374,0.10869006912840976,0.09482495647628525
num__Complain OrderAmountHikeFromlastYear,0.006719600270051823,0.11174737,0.15691558455056584,0.09235103617187682
num__HourSpendOnApp Complain,0.0077370972560197905,0.14546295,0.10346190951980402,0.08622052903128127
num__CityTier NumberOfDeviceRegistered,0.008477741589224513,0.14942493,0.08540120839033395,0.08177019697071922
num__SatisfactionScore DaySinceLastOrder,0.004494850150894007,0.14349209,0.08158922427857329,0.07718581428305019
num__Tenure OrderCount,0.009944996050470547,0.11016866,0.08829045793556889,0.0699585474057032
num__HourSpendOnApp SatisfactionScore,0.006603755492117296,0.1158489,0.08211516334619091,0.06871772038417046
num__HourSpendOnApp DaySinceLastOrder,0.005455153174698804,0.12924318,0.056579904754617466,0.06433654734410703
cat__PreferedOrderCat_Mobile Phone,0.005823619746475769,0.096499674,0.08558541367627256,0.06308560268573275
cat__PreferedOrderCat_Mobile,0.0058404409148203685,0.055247754,0.033620853147896416,0.031804672377252395
num__Complain OrderCount,0.0050678892306857464,0.052388005,0.03503868831116271,0.03105870452850252
num__CityTier Complain,0.004809991228177079,0.03200464,0.04479042730301545,0.027346555912925972
num__Complain,0.004103813504072097,0.009977891,0.0017864889968585887,0.00531380117709477
