feature,importance
Device_per_Month,0.8395680537523011
Complain,0.8071066068488696
Address_per_Month,0.6497508138738011
MaritalStatus_Single,0.5020239973569403
WarehouseToHome,0.3406397343309769
CityTier,0.331078199751609
CashbackAmount,0.30248499194714384
NumberOfAddress,0.29538550994330903
Recency_Score,0.2373710578360432
Distance_x_Dissatisfaction,0.2282047866644905
DaySinceLastOrder,0.2272477686130078
Composite_Risk_Score,0.21350365831480975
Tenure,0.21253377684325764
Order_Frequency,0.2090388177078455
Low_Engagement_Flag,0.1846898618345889
Cashback_per_Order,0.18256456440332472
OrderAmountHikeFromlastYear,0.1809278983257636
PreferedOrderCat_Laptop & Accessory,0.1731961454867173
PreferredLoginDevice_Computer,0.15567569272634244
Satisfaction_Decay,0.15539902422968727
Payment_Risk,0.1410257779859656
NumberOfDeviceRegistered,0.13056496784179872
Complaint_Severity,0.12797384238848478
Gender_Female,0.12483591404812618
AvgHike_per_Order,0.12463489729476976
SatisfactionScore,0.11071144271795294
Engagement_Score,0.10437080209646135
App_Hours_per_Month,0.09914284011956795
Satisfaction_x_Orders,0.09159119097852197
Tenure_x_OrderCount,0.08405221859235293
Log_WarehouseToHome,0.07972815352133747
CityTier_Risk,0.07303401898736052
Gender_Male,0.07173324834533601
Coupon_per_Order,0.07111417960002012
Log_CashbackAmount,0.06787900827207476
PreferedOrderCat_Fashion,0.0676010432890958
PreferredPaymentMode_E wallet,0.05662319737981968
Log_NumberOfAddress,0.056258495213930566
Log_DaySinceLastOrder,0.055367419489815536
Tenure_sq,0.0553004045176394
Category_Risk,0.05317754461758117
PreferredPaymentMode_Debit Card,0.04149236871434765
CouponUsed,0.040760320493941744
Inv_Satisfaction,0.03941846204641066
MaritalStatus_Married,0.03770485479860319
PreferredPaymentMode_Credit Card,0.03554277042893582
Lifecycle_Stage,0.03446922052515713
Log_OrderAmountHikeFromlastYear,0.034142547466275014
WarehouseToHome_sq,0.0329143713657176
PreferredPaymentMode_UPI,0.028119648683515734
App_x_Coupon,0.023782748498896594
PreferredLoginDevice_Mobile Phone,0.021059466010387093
Satisfaction_sq,0.013628678651982952
PreferredLoginDevice_Phone,0.01336091701395471
Log_CouponUsed,0.011753210607115754
CashbackAmount_sq,0.009837000099998135
Cashback_Tier_High,0.008317597991188959
PreferredPaymentMode_COD,0.008064336952483885
PreferedOrderCat_Mobile Phone,0.007734999655733954
DaySinceLastOrder_sq,0.006836086136958658
PreferedOrderCat_Mobile,0.006443520139548406
OrderCount,0.005638048916786485
PreferedOrderCat_Others,0.004816851791758368
Chronic_Dissatisfaction,0.00441216571563491
High_Risk_Flag,0.0035878018890870837
PreferredPaymentMode_Cash on Delivery,0.0028870044829806376
PreferredPaymentMode_CC,0.002551394638248194
MaritalStatus_Divorced,0.0020615892589206045
Far_Warehouse,0.0009152896892589782
Recency_Bin,0.0008093515029361571
Log_OrderCount,0.0005887393538862844
HourSpendOnApp,0.0003186424823626794
PreferedOrderCat_Grocery,0.0
Cashback_Tier_Low,0.0
Cashback_Tier_Medium,0.0
Cashback_Tier_Premium,0.0
