order_delivery_date_id,source_order_header_id,source_member_id,source_city_name,location_name,source_location_type,payment_type,member_id,source_slug,member_class,member_state,evoucher_code,order_count,qty,total_sales,last_order_date,refund_amount,refund_orders,delivery_date
20251126,1837962888,16265039,Gurgaon,DS-BNGUR-Sector-85,LT-IBBN,NEUCOINS,16697711,bbnow,Silver,Intermittent,&,1,4.13,213.76,30/11/2025,0,0,26/11/2025
20251121,1828973146,11488782,Chandigarh Tricity,DS-IBMOH-ISBT Ludhia,IBBN,PAY,11623177,bb-b2c,Silver,Intermittent,&,1,8.08,80.8,23/11/2025,0,0,21/11/2025
20251125,1837360421,21806809,Bangalore,DS-IBBLR-BrigadeRoad,IBBN,UPI_QR,22545457,bbnow,Silver,Intermittent,&,1,4,118.53,27/11/2025,0,0,25/11/2025
20251106,1821995270,6143232,Bangalore,DS-IBBLR-Manyata,LT-IBBN,PAY,6236154,bbnow,Silver,Intermittent,&,1,16.17,1036.51,15/11/2025,0,0,6/11/2025
20251130,1841246009,1733139,Hyderabad,DS-IBHYD-Tarnaka,IBBN,VISA,923163,bbnow,Silver,Intermittent,&,1,1,229,30/11/2025,0,0,30/11/2025
20251107,1822444062,34599265,Agra,DS-BNAGA-Padav Gwali,BBNow,UPI,35332628,bbnow,Silver,Intermittent,&,1,12,426,9/11/2025,0,0,7/11/2025
20251128,1839619224,10309391,Gurgaon,DS-IBDEL-Naraina,LT-IBBN,PAY,10422469,bbnow,Silver,Intermittent,CRED-2EMPDF255T9TTM1,1,2,99,28/11/2025,0,0,28/11/2025
20251116,1829925849,72362121,Gurgaon,DS-BNDEL-Sainikfarm,IBBN,PAY,107062531,bbnow,Silver,Intermittent,&,1,1,99,18/11/2025,0,0,16/11/2025
20251123,1835279585,72402839,Kochi,DS-IBKOC-Petta,IBBN,PAY,64015129,bbnow,Silver,Intermittent,&,1,5,250.2,23/11/2025,0,0,23/11/2025
20251109,1824500330,37918613,Bangalore,DS-IBBLR-Dodsworth,LT-IBBN,PAY,38674062,bbnow,Silver,Intermittent,&,1,2,269,9/11/2025,0,0,9/11/2025
20251102,1818781317,4730479,Kolkata,DS-IBKOL-Kalikapur,LT-IBBN,UPI,4733989,bbnow,Silver,Intermittent,&,1,2,1018.9,27/11/2025,0,0,2/11/2025
20251125,1837064828,6380635,Lucknow-Kanpur,DS-IBLUC-MallRoad,IBBN,cod,6470187,bbnow,Silver,Intermittent,&,1,10.07,95.88,25/11/2025,68.2,1,25/11/2025
20251130,1841114299,18338907,Ahmedabad-Gandhinagar,DS-BNAHD-N Gandhinag,LT-IBBN,UPI,18493527,bbnow,Silver,Intermittent,CRED-2NH2GD8X3913C4B,1,3,684,30/11/2025,0,0,30/11/2025
20251109,1823976093,64486658,Hyderabad,DS-IBHYD-Gundla Poch,IBBN,PAY,78541972,bbnow,Silver,Intermittent,&,1,1,120,9/11/2025,0,0,9/11/2025
20251108,1823070979,21042376,Gurgaon,DS-IBDEL-MayurVihar,IBBN,PAY,21773706,bbnow,Silver,Intermittent,&,1,5,131,30/11/2025,0,0,8/11/2025
